"Dataset S27. Molecular rates, environmental predictors, and life-history traits of species based on mitochondrial genes used in this study.",,,,,,,,,,,,,,,,,,,,,,,,
GenBank,ThermoMode,Group,Class,Order,Family,Species,Clade,dN (substitution/site/year),dS (substitution/site/year),dNdS,Clade.Age (Ma),Tip.Age (Ma),Mid Latitude (°),Mean Annual Temperature (℃),Habitat,BodyMass (g),Longevity (year),MaturityAge (year),Fecundity (Individual/year),Migration,Ref.BodyMass,Ref.Fecundity,Ref.MaturityAge,Ref.Longevity
NC_034739.1,Endotherms,Mammals,Mammalia,Primates,Lepilemuridae,Lepilemur_microdon,Mammals_Node2500,4.65E-10,5.19E-09,0.09,20.39,9.22,21.50,18.10,Terrestrial,952.3,12.0,1.8,1.0,NA,Generation length for mammals,worldspecies.org,worldspecies.org,worldspecies.org
HQ171064.1,Endotherms,Mammals,Mammalia,Primates,Lepilemuridae,Lepilemur_otto,Mammals_Node2500,3.98E-10,5.25E-09,0.08,20.39,3.10,16.00,26.81,Terrestrial,862.0,21.8,2.6,1.2,NA,http://lemursofmadagascar.com/html/species/217/lepilemur-otto-craul-et-al-2007,Estimated by maximum longevity of Primates,Estimated by age of first reproduction of Primates,Estimated by body mass of Primates
HQ171082.1,Endotherms,Mammals,Mammalia,Primates,Lepilemuridae,Lepilemur_edwardsi,Mammals_Node2500,5.34E-10,4.84E-09,0.11,20.39,2.31,16.00,26.98,Terrestrial,821.6,12.0,2.0,1.0,NA,Generation length for mammals,Animal Diversity Web,Animal Diversity Web,worldspecies.org
HQ171072.1,Endotherms,Mammals,Mammalia,Primates,Lepilemuridae,Lepilemur_grewcockorum,Mammals_Node2500,5.34E-10,5.72E-09,0.09,20.39,2.31,15.50,25.74,Terrestrial,780.0,21.5,2.5,1.2,NA,https://www.lemursportal.org/species/getDetailTaxo?id=49,Estimated by maximum longevity of Primates,Estimated by age of first reproduction of Primates,Estimated by body mass of Primates
NC_034727.1,Endotherms,Mammals,Mammalia,Primates,Lepilemuridae,Lepilemur_septentrionalis,Mammals_Node2500,5.46E-10,5.09E-09,0.11,20.39,9.73,-12.56,25.84,Terrestrial,755.8,15.0,1.5,1.0,NA,Generation length for mammals,worldspecies.org,Animal Diversity Web,Animal Diversity Web
HQ171076.1,Endotherms,Mammals,Mammalia,Primates,Lepilemuridae,Lepilemur_ahmansonorum,Mammals_Node2500,6.11E-10,4.80E-09,0.13,20.39,3.35,16.00,26.72,Terrestrial,550.0,20.2,2.4,1.2,NA,https://zenodo.org/record/6633603#.YvHt3y-KHwc,Estimated by maximum longevity of Primates,Estimated by age of first reproduction of Primates,Estimated by body mass of Primates
HQ171079.1,Endotherms,Mammals,Mammalia,Primates,Lepilemuridae,Lepilemur_sahamalazensis,Mammals_Node2500,4.39E-10,4.01E-09,0.11,20.39,3.35,14.50,26.14,Terrestrial,727.0,21.2,2.5,1.2,NA,Generation length for mammals,Estimated by maximum longevity of Primates,Estimated by age of first reproduction of Primates,Estimated by body mass of Primates
HQ171060.1,Endotherms,Mammals,Mammalia,Primates,Lepilemuridae,Lepilemur_dorsalis,Mammals_Node2500,4.99E-10,3.60E-09,0.14,20.39,5.34,14.00,21.03,Terrestrial,503.9,12.0,1.8,1.0,NA,Generation length for mammals,worldspecies.org,worldspecies.org,worldspecies.org
HQ171080.1,Endotherms,Mammals,Mammalia,Primates,Lepilemuridae,Lepilemur_tymerlachsoni,Mammals_Node2500,4.89E-10,3.91E-09,0.12,20.39,3.18,-13.37,25.92,Terrestrial,840.0,21.7,2.6,1.2,NA,GBIF,Estimated by maximum longevity of Primates,Estimated by age of first reproduction of Primates,Estimated by body mass of Primates
HQ171065.1,Endotherms,Mammals,Mammalia,Primates,Lepilemuridae,Lepilemur_milanoii,Mammals_Node2500,3.98E-10,3.32E-09,0.12,20.39,1.62,13.00,25.05,Terrestrial,720.0,21.2,2.5,1.2,NA,Primate Adaptation and Evolution (Third Edition),Estimated by maximum longevity of Primates,Estimated by age of first reproduction of Primates,Estimated by body mass of Primates
HQ171056.1,Endotherms,Mammals,Mammalia,Primates,Lepilemuridae,Lepilemur_ankaranensis,Mammals_Node2500,6.55E-10,3.32E-09,0.20,20.39,1.62,13.00,24.81,Terrestrial,750.0,12.0,1.8,1.0,NA,Generation length for mammals,worldspecies.org,worldspecies.org,worldspecies.org
KM112340.1,Endotherms,Mammals,Mammalia,Primates,Cheirogaleidae,Phaner_pallescens,Mammals_Node2498,5.69E-10,8.41E-09,0.07,4.34,4.34,19.71,25.09,Terrestrial,460.0,25.0,3.0,1.0,NA,Generation length for mammals,worldspecies.org,Estimated by age of first reproduction of Primates,worldspecies.org
KM112341.1,Endotherms,Mammals,Mammalia,Primates,Cheirogaleidae,Phaner_parienti,Mammals_Node2498,5.72E-10,6.91E-09,0.08,4.34,2.30,13.83,25.50,Terrestrial,460.0,25.0,3.0,1.0,NA,Generation length for mammals,worldspecies.org,Estimated by age of first reproduction of Primates,worldspecies.org
KM112338.1,Endotherms,Mammals,Mammalia,Primates,Cheirogaleidae,Phaner_electromontis,Mammals_Node2498,4.70E-10,6.87E-09,0.07,4.34,2.30,13.00,24.01,Terrestrial,460.0,25.0,3.0,1.0,NA,Generation length for mammals,worldspecies.org,Estimated by age of first reproduction of Primates,worldspecies.org
KM112333.1,Endotherms,Mammals,Mammalia,Primates,Cheirogaleidae,Cheirogaleus_sibreei,Mammals_Node2495,3.57E-10,1.19E-08,0.03,14.21,14.21,19.83,16.34,Terrestrial,342.2,15.0,1.1,2.0,NA,Generation length for mammals,worldspecies.org,worldspecies.org,worldspecies.org
KM112332.1,Endotherms,Mammals,Mammalia,Primates,Cheirogaleidae,Cheirogaleus_medius,Mammals_Node2495,4.86E-10,1.47E-08,0.03,14.21,10.34,20.50,21.40,Terrestrial,196.8,21.3,1.3,2.1,NA,Generation length for mammals,Life history characteristics of non-volant placental mammals,Generation length for mammals,Generation length for mammals
KM112323.1,Endotherms,Mammals,Mammalia,Primates,Cheirogaleidae,Cheirogaleus_major,Mammals_Node2495,5.10E-10,1.25E-08,0.04,14.21,7.63,17.28,19.44,Terrestrial,446.0,14.2,1.3,2.3,NA,Generation length for mammals,Life history characteristics of non-volant placental mammals,Generation length for mammals,Generation length for mammals
KM112325.1,Endotherms,Mammals,Mammalia,Primates,Cheirogaleidae,Cheirogaleus_crossleyi,Mammals_Node2495,4.96E-10,1.59E-08,0.03,14.21,7.63,18.75,18.56,Terrestrial,400.0,15.0,1.1,1.0,NA,Generation length for mammals,worldspecies.org,worldspecies.org,worldspecies.org
KM112304.1,Endotherms,Mammals,Mammalia,Primates,Cheirogaleidae,Microcebus_murinus,Mammals_Node2478,6.05E-10,9.40E-09,0.06,9.63,6.20,20.79,21.95,Terrestrial,69.0,16.9,1.0,2.4,NA,Generation length for mammals,Life history characteristics of non-volant placental mammals,Generation length for mammals,Generation length for mammals
KM112292.1,Endotherms,Mammals,Mammalia,Primates,Cheirogaleidae,Microcebus_griseorufus,Mammals_Node2478,6.26E-10,1.30E-08,0.05,9.63,6.20,23.96,23.60,Terrestrial,70.2,18.0,0.8,2.0,NA,Generation length for mammals,worldspecies.org,worldspecies.org,worldspecies.org
KM112305.1,Endotherms,Mammals,Mammalia,Primates,Cheirogaleidae,Microcebus_danfossi,Mammals_Node2478,4.10E-10,1.17E-08,0.04,9.63,3.40,15.00,23.62,Terrestrial,63.0,13.9,1.6,1.3,NA,http://treatment.plazi.org/id/253C87A7FFEFDB50FAFAF811ABFBFC5A/1,Estimated by maximum longevity of Primates,Estimated by age of first reproduction of Primates,Estimated by body mass of Primates
KM112289.1,Endotherms,Mammals,Mammalia,Primates,Cheirogaleidae,Microcebus_ravelobensis,Mammals_Node2478,7.33E-10,1.23E-08,0.06,9.63,0.91,16.00,24.33,Terrestrial,58.6,13.7,1.6,1.3,NA,Generation length for mammals,Estimated by maximum longevity of Primates,Estimated by age of first reproduction of Primates,Estimated by body mass of Primates
KM112293.1,Endotherms,Mammals,Mammalia,Primates,Cheirogaleidae,Microcebus_bongolavensis,Mammals_Node2478,3.02E-10,1.13E-08,0.03,9.63,0.91,16.00,23.16,Terrestrial,54.2,13.5,1.6,1.3,NA,Generation length for mammals,Estimated by maximum longevity of Primates,Estimated by age of first reproduction of Primates,Estimated by body mass of Primates
KM112300.1,Endotherms,Mammals,Mammalia,Primates,Cheirogaleidae,Microcebus_jollyae,Mammals_Node2478,5.51E-10,1.12E-08,0.05,9.63,6.74,21.50,19.91,Terrestrial,54.2,13.5,1.6,1.3,NA,Generation length for mammals,Estimated by maximum longevity of Primates,Estimated by age of first reproduction of Primates,Estimated by body mass of Primates
KM112311.1,Endotherms,Mammals,Mammalia,Primates,Cheirogaleidae,Microcebus_simmonsi,Mammals_Node2478,3.28E-10,8.88E-09,0.04,9.63,5.89,17.50,19.17,Terrestrial,54.2,13.5,1.6,1.3,NA,Generation length for mammals,Estimated by maximum longevity of Primates,Estimated by age of first reproduction of Primates,Estimated by body mass of Primates
KM112288.1,Endotherms,Mammals,Mammalia,Primates,Cheirogaleidae,Microcebus_tanosi,Mammals_Node2478,4.29E-10,7.67E-09,0.06,9.63,5.58,24.83,21.52,Terrestrial,89.0,14.7,1.7,1.3,NA,Wikipedia,Estimated by maximum longevity of Primates,Estimated by age of first reproduction of Primates,Estimated by body mass of Primates
KM112294.1,Endotherms,Mammals,Mammalia,Primates,Cheirogaleidae,Microcebus_tavaratra,Mammals_Node2478,6.81E-10,1.34E-08,0.05,9.63,5.21,13.00,21.55,Terrestrial,68.0,14.1,1.6,1.3,NA,Generation length for mammals,Estimated by maximum longevity of Primates,Estimated by age of first reproduction of Primates,Estimated by body mass of Primates
KM112286.1,Endotherms,Mammals,Mammalia,Primates,Cheirogaleidae,Microcebus_arnholdi,Mammals_Node2478,4.92E-10,6.75E-09,0.07,9.63,2.62,13.17,22.17,Terrestrial,50.0,13.3,1.5,1.3,NA,https://lemursofmadagascar.com/html/species/40/microcebus-arnholdi-louis-et-al-2008,Estimated by maximum longevity of Primates,Estimated by age of first reproduction of Primates,Estimated by body mass of Primates
KM112296.1,Endotherms,Mammals,Mammalia,Primates,Cheirogaleidae,Microcebus_sambiranensis,Mammals_Node2478,5.09E-10,8.53E-09,0.06,9.63,2.62,14.00,21.38,Terrestrial,49.1,13.3,1.5,1.3,NA,Generation length for mammals,Estimated by maximum longevity of Primates,Estimated by age of first reproduction of Primates,Estimated by body mass of Primates
KM112307.1,Endotherms,Mammals,Mammalia,Primates,Cheirogaleidae,Microcebus_mamiratra,Mammals_Node2478,5.92E-10,8.38E-09,0.07,9.63,1.90,-13.50,25.61,Terrestrial,60.0,13.8,1.6,1.3,NA,Generation length for mammals,Estimated by maximum longevity of Primates,Estimated by age of first reproduction of Primates,Estimated by body mass of Primates
KM112315.1,Endotherms,Mammals,Mammalia,Primates,Cheirogaleidae,Microcebus_margotmarshae,Mammals_Node2478,5.00E-10,9.06E-09,0.06,9.63,1.90,14.50,18.33,Terrestrial,45.5,13.1,1.5,1.3,NA,https://lemursofmadagascar.com/html/species/36/microcebus-margotmarshae-louis-et-al-2008,Estimated by maximum longevity of Primates,Estimated by age of first reproduction of Primates,Estimated by body mass of Primates
KM112299.1,Endotherms,Mammals,Mammalia,Primates,Cheirogaleidae,Microcebus_mittermeieri,Mammals_Node2478,3.83E-10,8.90E-09,0.04,9.63,3.82,14.50,18.44,Terrestrial,54.2,13.5,1.6,1.3,NA,Generation length for mammals,Estimated by maximum longevity of Primates,Estimated by age of first reproduction of Primates,Estimated by body mass of Primates
KM112314.1,Endotherms,Mammals,Mammalia,Primates,Cheirogaleidae,Microcebus_lehilahytsara,Mammals_Node2478,4.59E-10,7.64E-09,0.06,9.63,2.76,19.00,17.75,Terrestrial,54.2,5.0,0.5,1.7,NA,Generation length for mammals,Estimated by maximum longevity of Primates,Estimated by age of first reproduction of Primates,animalia.bio
KM112290.1,Endotherms,Mammals,Mammalia,Primates,Cheirogaleidae,Microcebus_myoxinus,Mammals_Node2478,5.96E-10,1.02E-08,0.06,9.63,2.54,17.61,21.96,Terrestrial,31.2,18.0,0.8,2.0,NA,Generation length for mammals,worldspecies.org,worldspecies.org,worldspecies.org
KM112303.1,Endotherms,Mammals,Mammalia,Primates,Cheirogaleidae,Microcebus_berthae,Mammals_Node2478,3.81E-10,1.00E-08,0.04,9.63,2.36,20.00,23.19,Terrestrial,33.5,15.0,1.7,2.0,NA,Generation length for mammals,Animal Diversity Web,Estimated by age of first reproduction of Primates,Animal Diversity Web
KM112313.1,Endotherms,Mammals,Mammalia,Primates,Cheirogaleidae,Microcebus_rufus,Mammals_Node2478,6.05E-10,9.02E-09,0.07,9.63,2.36,22.17,18.00,Terrestrial,48.4,18.0,1.0,2.5,NA,Generation length for mammals,Life history characteristics of non-volant placental mammals,worldspecies.org,Animal Diversity Web
NC_012774.1,Endotherms,Mammals,Mammalia,Primates,Tarsiidae,Tarsius_syrichta,Mammals_Node2468,4.89E-10,1.40E-08,0.03,16.96,16.96,9.00,23.51,Terrestrial,115.9,15.5,3.3,1.0,NA,Generation length for mammals,Life history characteristics of non-volant placental mammals,Generation length for mammals,Generation length for mammals
AF348159.1,Endotherms,Mammals,Mammalia,Primates,Tarsiidae,Tarsius_bancanus,Mammals_Node2468,4.21E-10,1.05E-08,0.04,16.96,16.96,2.51,23.01,Terrestrial,114.4,14.2,2.5,1.0,NA,Generation length for mammals,Life history characteristics of non-volant placental mammals,Generation length for mammals,Generation length for mammals
KC977310.1,Endotherms,Mammals,Mammalia,Primates,Tarsiidae,Tarsius_dentatus,Mammals_Node2466,2.86E-10,6.62E-09,0.04,3.06,3.06,1.25,22.57,Terrestrial,110.4,12.0,1.1,1.0,NA,Generation length for mammals,Animal Diversity Web,worldspecies.org,Animal Diversity Web
KC977309.1,Endotherms,Mammals,Mammalia,Primates,Tarsiidae,Tarsius_lariang,Mammals_Node2466,4.99E-10,9.81E-09,0.05,3.06,2.67,2.77,20.91,Terrestrial,92.0,14.8,1.7,1.3,NA,Generation length for mammals,Estimated by maximum longevity of Primates,Estimated by age of first reproduction of Primates,Estimated by body mass of Primates
KC977311.1,Endotherms,Mammals,Mammalia,Primates,Tarsiidae,Tarsius_wallacei,Mammals_Node2466,5.18E-10,9.38E-09,0.06,3.06,2.67,0.70,21.37,Terrestrial,122.7,15.6,1.8,1.3,NA,Generation length for mammals,Estimated by maximum longevity of Primates,Estimated by age of first reproduction of Primates,Estimated by body mass of Primates
KC959985.1,Endotherms,Mammals,Mammalia,Primates,Pitheciidae,Cacajao_calvus,Mammals_Node2438,6.07E-10,1.26E-08,0.05,22.65,7.12,6.61,23.13,Terrestrial,3421.0,36.0,3.6,1.0,NA,Generation length for mammals,Life history characteristics of non-volant placental mammals,Generation length for mammals,worldspecies.org
KC592392.1,Endotherms,Mammals,Mammalia,Primates,Pitheciidae,Chiropotes_chiropotes,Mammals_Node2438,5.55E-10,1.28E-08,0.04,22.65,3.31,2.80,21.20,Terrestrial,2860.0,20.0,4.0,1.0,NA,Generation length for mammals,worldspecies.org,worldspecies.org,worldspecies.org
KC757393.1,Endotherms,Mammals,Mammalia,Primates,Pitheciidae,Chiropotes_albinasus,Mammals_Node2438,6.11E-10,1.23E-08,0.05,22.65,3.31,7.88,22.03,Terrestrial,2793.2,18.5,4.0,1.0,NA,Generation length for mammals,Life history characteristics of non-volant placental mammals,Life history characteristics of non-volant placental mammals,Generation length for mammals
KC592393.1,Endotherms,Mammals,Mammalia,Primates,Pitheciidae,Callicebus_lugens,Mammals_Node2438,4.36E-10,1.22E-08,0.04,22.65,10.84,2.50,22.06,Terrestrial,1050.0,22.6,4.3,1.2,NA,Generation length for mammals,Estimated by maximum longevity of Primates,worldspecies.org,Estimated by body mass of Primates
KC959986.1,Endotherms,Mammals,Mammalia,Primates,Pitheciidae,Callicebus_cupreus,Mammals_Node2438,6.60E-10,1.36E-08,0.05,22.65,4.90,6.43,21.78,Terrestrial,1117.0,26.4,3.0,1.0,NA,Generation length for mammals,Life history characteristics of non-volant placental mammals,worldspecies.org,Generation length for mammals
FJ785423.1,Endotherms,Mammals,Mammalia,Primates,Pitheciidae,Callicebus_donacophilus,Mammals_Node2438,5.92E-10,1.22E-08,0.05,22.65,4.90,14.50,22.28,Terrestrial,897.7,25.0,4.0,1.0,NA,Generation length for mammals,Animal Diversity Web,Animal Diversity Web,Generation length for mammals
KC757386.1,Endotherms,Mammals,Mammalia,Primates,Atelidae,Ateles_belzebuth,Mammals_Node2438,6.45E-10,8.95E-09,0.07,22.65,11.68,2.72,23.95,Terrestrial,6692.4,32.5,5.0,1.0,NA,Generation length for mammals,Life history characteristics of non-volant placental mammals,Generation length for mammals,Generation length for mammals
KC757398.1,Endotherms,Mammals,Mammalia,Primates,Atelidae,Lagothrix_lagotricha,Mammals_Node2438,4.87E-10,1.11E-08,0.04,22.65,11.68,6.00,20.97,Terrestrial,6263.7,37.0,7.6,1.0,NA,Generation length for mammals,Life history characteristics of non-volant placental mammals,Generation length for mammals,worldspecies.org
KY202428.1,Endotherms,Mammals,Mammalia,Primates,Atelidae,Alouatta_guariba,Mammals_Node2438,4.55E-10,6.90E-09,0.07,22.65,5.61,23.50,20.55,Terrestrial,5188.3,20.0,3.6,1.0,NA,Generation length for mammals,Animal Diversity Web,Animal Diversity Web,Animal Diversity Web
HQ644333.1,Endotherms,Mammals,Mammalia,Primates,Atelidae,Alouatta_seniculus,Mammals_Node2438,3.70E-10,7.28E-09,0.05,22.65,3.81,4.81,23.59,Terrestrial,6398.3,25.0,4.6,1.2,NA,Generation length for mammals,Life history characteristics of non-volant placental mammals,Generation length for mammals,Generation length for mammals
KC757384.1,Endotherms,Mammals,Mammalia,Primates,Atelidae,Alouatta_caraya,Mammals_Node2438,5.73E-10,9.83E-09,0.06,22.65,3.81,17.69,21.25,Terrestrial,5577.0,26.4,3.7,1.0,NA,Generation length for mammals,Life history characteristics of non-volant placental mammals,Generation length for mammals,Generation length for mammals
KC757409.1,Endotherms,Mammals,Mammalia,Primates,Callitrichidae,Saguinus_oedipus,Mammals_Node2438,7.76E-10,1.43E-08,0.05,22.65,16.39,8.93,24.34,Terrestrial,462.0,24.7,2.6,1.9,NA,Generation length for mammals,Life history characteristics of non-volant placental mammals,Generation length for mammals,Generation length for mammals
MG933868.1,Endotherms,Mammals,Mammalia,Primates,Callitrichidae,Leontopithecus_chrysopygus,Mammals_Node2438,5.56E-10,8.36E-09,0.07,22.65,1.74,23.20,21.17,Terrestrial,656.1,18.0,1.8,2.0,NA,Generation length for mammals,worldspecies.org,worldspecies.org,worldspecies.org
KC757399.1,Endotherms,Mammals,Mammalia,Primates,Callitrichidae,Leontopithecus_rosalia,Mammals_Node2438,5.81E-10,1.04E-08,0.06,22.65,1.74,22.50,20.88,Terrestrial,592.5,28.2,2.4,2.0,NA,Generation length for mammals,Life history characteristics of non-volant placental mammals,Generation length for mammals,Generation length for mammals
KC592391.1,Endotherms,Mammals,Mammalia,Primates,Callitrichidae,Callimico_goeldii,Mammals_Node2438,4.90E-10,1.40E-08,0.03,22.65,12.95,6.31,22.31,Terrestrial,558.0,20.1,1.4,1.0,NA,Generation length for mammals,Life history characteristics of non-volant placental mammals,Generation length for mammals,Generation length for mammals
KC757389.1,Endotherms,Mammals,Mammalia,Primates,Callitrichidae,Cebuella_pygmaea,Mammals_Node2438,4.87E-10,1.14E-08,0.04,22.65,6.93,2.30,21.94,Terrestrial,124.0,16.9,2.3,2.0,NA,Generation length for mammals,Animal Diversity Web,Generation length for mammals,Generation length for mammals
MN787095.1,Endotherms,Mammals,Mammalia,Primates,Callitrichidae,Callithrix_penicillata,Mammals_Node2438,3.65E-10,1.15E-08,0.03,22.65,3.39,16.22,20.04,Terrestrial,340.0,15.4,1.5,2.0,NA,Generation length for mammals,Life history characteristics of non-volant placental mammals,Animal Diversity Web,Generation length for mammals
MN787080.1,Endotherms,Mammals,Mammalia,Primates,Callitrichidae,Callithrix_aurita,Mammals_Node2438,6.75E-10,1.34E-08,0.05,22.65,3.39,22.15,17.85,Terrestrial,386.2,23.0,1.3,2.0,NA,Generation length for mammals,worldspecies.org,worldspecies.org,worldspecies.org
KC757385.1,Endotherms,Mammals,Mammalia,Primates,Aotidae,Aotus_azarae,Mammals_Node2438,4.37E-10,8.99E-09,0.05,22.65,4.56,11.33,24.83,Terrestrial,929.6,30.0,2.0,1.0,NA,Generation length for mammals,Life history characteristics of non-volant placental mammals,Animal Diversity Web,Generation length for mammals
NC_019799.1,Endotherms,Mammals,Mammalia,Primates,Aotidae,Aotus_lemurinus,Mammals_Node2438,3.85E-10,1.15E-08,0.03,22.65,2.98,4.38,14.92,Terrestrial,866.0,34.0,2.0,1.0,NA,Generation length for mammals,Life history characteristics of non-volant placental mammals,worldspecies.org,worldspecies.org
JN161100.1,Endotherms,Mammals,Mammalia,Primates,Aotidae,Aotus_nancymaae,Mammals_Node2438,6.06E-10,1.27E-08,0.05,22.65,2.98,5.52,23.05,Terrestrial,791.0,11.0,1.0,2.0,NA,Generation length for mammals,Animal Diversity Web,Animal Diversity Web,worldspecies.org
HQ644340.1,Endotherms,Mammals,Mammalia,Primates,Cebidae,Saimiri_boliviensis,Mammals_Node2438,2.52E-10,5.74E-09,0.04,22.65,3.04,9.99,23.58,Terrestrial,799.5,30.3,2.5,1.0,NA,Generation length for mammals,AnAge,Animal Diversity Web,Generation length for mammals
HQ644337.1,Endotherms,Mammals,Mammalia,Primates,Cebidae,Saimiri_oerstedii,Mammals_Node2438,8.18E-10,7.62E-09,0.11,22.65,2.17,8.67,25.28,Terrestrial,714.2,17.0,1.0,1.0,NA,Generation length for mammals,AnAge,Animal Diversity Web,Worldspecies.org
HQ644334.1,Endotherms,Mammals,Mammalia,Primates,Cebidae,Saimiri_sciureus,Mammals_Node2438,8.36E-10,5.93E-09,0.14,22.65,2.17,2.19,25.54,Terrestrial,749.5,28.6,2.9,1.0,NA,Generation length for mammals,Life history characteristics of non-volant placental mammals,Generation length for mammals,Generation length for mammals
NC_002763.1,Endotherms,Mammals,Mammalia,Primates,Cebidae,Cebus_albifrons,Mammals_Node2438,5.13E-10,4.80E-09,0.11,22.65,9.34,2.23,24.64,Terrestrial,2509.7,42.2,4.0,1.0,NA,Generation length for mammals,Life history characteristics of non-volant placental mammals,Generation length for mammals,Generation length for mammals
JN380205.1,Endotherms,Mammals,Mammalia,Primates,Cebidae,Sapajus_apella,Mammals_Node2438,1.22E-09,6.75E-09,0.18,22.65,7.00,5.80,25.04,Terrestrial,2758.4,45.6,5.6,1.0,NA,Generation length for mammals,Life history characteristics of non-volant placental mammals,Generation length for mammals,Generation length for mammals
MN218642.1,Endotherms,Mammals,Mammalia,Primates,Cebidae,Sapajus_flavius,Mammals_Node2438,2.77E-10,2.71E-09,0.10,22.65,3.43,8.50,25.78,Terrestrial,2500.0,26.2,3.1,1.1,NA,Wikipedia,Estimated by maximum longevity of Primates,Estimated by age of first reproduction of Primates,Estimated by body mass of Primates
KC757410.1,Endotherms,Mammals,Mammalia,Primates,Cebidae,Sapajus_xanthosternos,Mammals_Node2438,7.81E-10,9.31E-09,0.08,22.65,3.43,12.70,18.43,Terrestrial,3050.0,46.0,4.8,1.0,NA,Generation length for mammals,worldspecies.org,worldspecies.org,worldspecies.org
NC_001646.1,Endotherms,Mammals,Mammalia,Primates,Hominidae,Pongo_pygmaeus,Mammals_Node2433,6.06E-10,7.93E-09,0.08,20.78,6.83,1.95,25.85,Terrestrial,53408.3,59.5,9.8,1.2,NA,Generation length for mammals,Life history characteristics of non-volant placental mammals,Generation length for mammals,Generation length for mammals
NC_002083.1,Endotherms,Mammals,Mammalia,Primates,Hominidae,Pongo_abelii,Mammals_Node2433,5.38E-10,7.33E-09,0.07,20.78,6.83,3.50,22.79,Terrestrial,39696.1,58.0,12.3,1.0,NA,Generation length for mammals,Animal Diversity Web,Animal Diversity Web,Animal Diversity Web
MH177690.1,Endotherms,Mammals,Mammalia,Primates,Hominidae,Gorilla_beringei,Mammals_Node2433,5.55E-10,7.56E-09,0.07,20.78,3.54,1.75,20.95,Terrestrial,149325.2,55.0,10.0,1.0,NA,Generation length for mammals,worldspecies.org,Animal Diversity Web,Animal Diversity Web
KF914214.1,Endotherms,Mammals,Mammalia,Primates,Hominidae,Gorilla_gorilla,Mammals_Node2433,4.15E-10,5.38E-09,0.08,20.78,3.54,2.13,23.59,Terrestrial,112589.0,54.7,10.0,1.0,NA,Generation length for mammals,Life history characteristics of non-volant placental mammals,Generation length for mammals,Generation length for mammals
JF727193.1,Endotherms,Mammals,Mammalia,Primates,Hominidae,Pan_troglodytes,Mammals_Node2433,3.80E-10,7.75E-09,0.05,20.78,3.59,4.58,23.86,Terrestrial,45000.0,59.7,13.9,1.1,NA,Generation length for mammals,Life history characteristics of non-volant placental mammals,Generation length for mammals,Generation length for mammals
GU189671.1,Endotherms,Mammals,Mammalia,Primates,Hominidae,Pan_paniscus,Mammals_Node2433,4.89E-10,6.15E-09,0.08,20.78,3.59,1.84,23.64,Terrestrial,35120.0,51.5,9.0,1.0,NA,Generation length for mammals,Life history characteristics of non-volant placental mammals,Life history characteristics of non-volant placental mammals,Generation length for mammals
KC757404.1,Endotherms,Mammals,Mammalia,Primates,Hylobatidae,Nomascus_leucogenys,Mammals_Node2425,4.14E-10,7.03E-09,0.06,10.29,2.53,20.05,21.82,Terrestrial,7320.0,44.1,7.0,1.0,NA,Generation length for mammals,worldspecies.org,worldspecies.org,Generation length for mammals
HQ622806.1,Endotherms,Mammals,Mammalia,Primates,Hylobatidae,Nomascus_gabriellae,Mammals_Node2425,5.15E-10,6.33E-09,0.08,10.29,2.53,11.88,24.70,Terrestrial,8500.0,50.0,8.3,1.0,NA,Generation length for mammals,worldspecies.org,worldspecies.org,Animal Diversity Web
NC_033885.1,Endotherms,Mammals,Mammalia,Primates,Hylobatidae,Hoolock_hoolock,Mammals_Node2425,6.09E-10,7.66E-09,0.08,10.29,2.29,23.58,22.80,Terrestrial,6700.0,41.0,7.0,1.0,NA,Generation length for mammals,AnAge,AnAge,Generation length for mammals
KY250069.1,Endotherms,Mammals,Mammalia,Primates,Hylobatidae,Hoolock_tianxing,Mammals_Node2425,8.37E-10,5.44E-09,0.15,10.29,1.24,21.56,22.37,Terrestrial,7250.0,31.6,10.0,1.0,NA,Baidu,Baidu,Baidu,Estimated by body mass of Primates
KY250068.1,Endotherms,Mammals,Mammalia,Primates,Hylobatidae,Hoolock_leuconedys,Mammals_Node2425,2.29E-10,5.28E-09,0.04,10.29,1.24,25.17,22.58,Terrestrial,6709.8,31.1,7.4,1.0,NA,Generation length for mammals,"A dataset on the morphological, life-history and ecological traits of the mammals in China","A dataset on the morphological, life-history and ecological traits of the mammals in China",Estimated by body mass of Primates
KC757411.1,Endotherms,Mammals,Mammalia,Primates,Hylobatidae,Symphalangus_syndactylus,Mammals_Node2425,4.20E-10,9.34E-09,0.04,10.29,7.62,3.05,21.10,Terrestrial,10839.0,40.5,8.9,1.0,NA,Generation length for mammals,Paternal care and litter size coevolution in mammals,Generation length for mammals,Generation length for mammals
AB504749.1,Endotherms,Mammals,Mammalia,Primates,Hylobatidae,Hylobates_pileatus,Mammals_Node2425,4.53E-10,1.00E-08,0.05,10.29,5.03,13.50,25.60,Terrestrial,5542.4,37.0,7.0,1.0,NA,Generation length for mammals,Paternal care and litter size coevolution in mammals,worldspecies.org,Generation length for mammals
HQ622775.1,Endotherms,Mammals,Mammalia,Primates,Hylobatidae,Hylobates_lar,Mammals_Node2425,4.01E-10,1.09E-08,0.04,10.29,3.97,12.01,22.88,Terrestrial,5578.6,48.0,9.3,1.0,NA,Generation length for mammals,Life history characteristics of non-volant placental mammals,Generation length for mammals,Generation length for mammals
